Price	      Area	     Location	      No. of Bedrooms	      Resale	      MaintenanceStaff	      Gymnasium	      SwimmingPool
4850000	     720	     Kharghar	               1	               1	               1	               0	               0
4500000	     600	     Kharghar	               1	               1	               1	               1	               1
6700000	     650	     Kharghar	               1	               1	               1	               1	               1
4500000	     650	     Kharghar	               1	               1	               1	               0	               0
5000000	     665	     Kharghar	               1	               1	               1	               0	               0
17000000	  2000	     Kharghar	               4	               1	               1	               1	               1
12500000	  1550	     Kharghar	               3	               1	               1	               0	               0
10500000	  1370	     Kharghar	               3	               1	               1	               0	               0
10500000	  1356	     Kharghar	               3	               1	               1	               1	               1
15000000		 1680      Kharghar	               3                 1               	 1               	 1	               1
